ORF name,plate,row,column,new_row,new_coloum
Border,,,,14,24
Border,,,,15,1
,,,,15,2
,,,,15,3
,,,,15,4
,,,,15,5
,,,,15,6
,,,,15,7
,,,,15,8
,,,,15,9
,,,,15,10
,,,,15,11
,,,,15,12
,,,,15,13
,,,,15,14
,,,,15,15
,,,,15,16
,,,,15,17
,,,,15,18
,,,,15,19
,,,,15,20
,,,,15,21
,,,,15,22
,,,,15,23
Border,,,,15,24
Border,,,,16,1
Border,,,,16,2
Border,,,,16,3
Border,,,,16,4
Border,,,,16,5
Border,,,,16,6
Border,,,,16,7
Border,,,,16,8
Border,,,,16,9
Border,,,,16,10
Border,,,,16,11
Border,,,,16,12
Border,,,,16,13
Border,,,,16,14
Border,,,,16,15
Border,,,,16,16
Border,,,,16,17
Border,,,,16,18
Border,,,,16,19
Border,,,,16,20
Border,,,,16,21
Border,,,,16,22
Border,,,,16,23
Border,,,,16,24
